date,previous,loss,actual,predicted
2022-05-11 11:00:00,0.3687500000,-0.0166666667,0.3625000000,
2022-05-11 12:00:00,0.3625000000,-0.0169491525,0.3562500000,
2022-05-11 13:00:00,0.3562500000,-0.0172413793,0.3500000000,
2022-05-11 14:00:00,0.3500000000,-0.0175438596,0.3437500000,
2022-05-11 15:00:00,0.3437500000,-0.0178571429,0.3375000000,
2022-05-11 16:00:00,0.3375000000,-0.0181818182,0.3312500000,
2022-05-11 17:00:00,0.3312500000,-0.0185185185,0.3250000000,
2022-05-11 18:00:00,0.3250000000,-0.0188679245,0.3187500000,
2022-05-11 19:00:00,0.3187500000,-0.0192307692,0.3125000000,
2022-05-11 20:00:00,0.3125000000,-0.0196078431,0.3062500000,
2022-05-11 21:00:00,0.3062500000,-0.0200000000,0.3000000000,
2022-05-11 22:00:00,0.3000000000,-0.0204081633,0.2937500000,
2022-05-11 23:00:00,0.2937500000,-0.0208333333,0.2875000000,
2022-05-12 00:00:00,0.2875000000,-0.0212765957,0.2812500000,
2022-05-12 01:00:00,0.2812500000,-0.0217391304,0.2750000000,
2022-05-12 02:00:00,0.2750000000,-0.0222222222,0.2687500000,
2022-05-12 03:00:00,0.2687500000,-0.0227272727,0.2625000000,
2022-05-12 04:00:00,0.2625000000,-0.0232558140,0.2562500000,
2022-05-12 05:00:00,0.2562500000,-0.0238095238,0.2500000000,
2022-05-12 06:00:00,0.2500000000,-0.0243902439,0.2458333333,
2022-05-12 07:00:00,0.2458333333,-0.0166666668,0.2416666667,
2022-05-12 08:00:00,0.2416666667,-0.0169491523,0.2375000000,
2022-05-12 09:00:00,0.2375000000,-0.0172413794,0.2333333333,
2022-05-12 10:00:00,0.2333333333,-0.0175438598,0.2291666667,
2022-05-12 11:00:00,0.2291666667,-0.0178571426,0.2250000000,
2022-05-12 12:00:00,0.2250000000,-0.0181818183,0.2208333333,
2022-05-12 13:00:00,0.2208333333,-0.0185185187,0.2166666667,
2022-05-12 14:00:00,0.2166666667,-0.0188679242,0.2125000000,
2022-05-12 15:00:00,0.2125000000,-0.0192307694,0.2083333333,
2022-05-12 16:00:00,0.2083333333,-0.0196078433,0.2041666667,
2022-05-12 17:00:00,0.2041666667,-0.0199999997,0.2000000000,
2022-05-12 18:00:00,0.2000000000,-0.0204081634,0.1958333333,
2022-05-12 19:00:00,0.1958333333,-0.0208333335,0.1916666667,
2022-05-12 20:00:00,0.1916666667,-0.0212765954,0.1875000000,
2022-05-12 21:00:00,0.1875000000,-0.0217391306,0.1833333333,
2022-05-12 22:00:00,0.1833333333,-0.0222222224,0.1791666667,
2022-05-12 23:00:00,0.1791666667,-0.0227272724,0.1750000000,
2022-05-13 00:00:00,0.1750000000,-0.0232558141,0.1708333333,
2022-05-13 01:00:00,0.1708333333,-0.0238095240,0.1666666667,
2022-05-13 02:00:00,0.1666666667,-0.0243902435,0.1625000000,
2022-05-13 03:00:00,0.1625000000,-0.0250000002,0.1583333333,
2022-05-13 04:00:00,0.1583333333,-0.0256410258,0.1541666667,
2022-05-13 05:00:00,0.1541666667,-0.0263157891,0.1500000000,
2022-05-13 06:00:00,0.1500000000,-0.0270270272,0.1487500000,
2022-05-13 07:00:00,0.1487500000,-0.0083333333,0.1475000000,
2022-05-13 08:00:00,0.1475000000,-0.0084033613,0.1462500000,
2022-05-13 09:00:00,0.1462500000,-0.0084745763,0.1450000000,
2022-05-13 10:00:00,0.1450000000,-0.0085470085,0.1437500000,
2022-05-13 11:00:00,0.1437500000,-0.0086206897,0.1425000000,
2022-05-13 12:00:00,0.1425000000,-0.0086956522,0.1412500000,
2022-05-13 13:00:00,0.1412500000,-0.0087719298,0.1400000000,
2022-05-13 14:00:00,0.1400000000,-0.0088495575,0.1387500000,
2022-05-13 15:00:00,0.1387500000,-0.0089285714,0.1375000000,
2022-05-13 16:00:00,0.1375000000,-0.0090090090,0.1362500000,
2022-05-13 17:00:00,0.1362500000,-0.0090909091,0.1350000000,
2022-05-13 18:00:00,0.1350000000,-0.0091743119,0.1337500000,
2022-05-13 19:00:00,0.1337500000,-0.0092592593,0.1325000000,
2022-05-13 20:00:00,0.1325000000,-0.0093457944,0.1312500000,
2022-05-13 21:00:00,0.1312500000,-0.0094339623,0.1300000000,
2022-05-13 22:00:00,0.1300000000,-0.0095238095,0.1287500000,
2022-05-13 23:00:00,0.1287500000,-0.0096153846,0.1275000000,
2022-05-14 00:00:00,0.1275000000,-0.0097087379,0.1262500000,
2022-05-14 01:00:00,0.1262500000,-0.0098039216,0.1250000000,
2022-05-14 02:00:00,0.1250000000,-0.0099009901,0.1237500000,
2022-05-14 03:00:00,0.1237500000,-0.0100000000,0.1225000000,
2022-05-14 04:00:00,0.1225000000,-0.0101010101,0.1212500000,
2022-05-14 05:00:00,0.1212500000,-0.0102040816,0.1200000000,
2022-05-14 06:00:00,0.1200000000,-0.0103092784,0.1191666667,
2022-05-14 07:00:00,0.1191666667,-0.0069444442,0.1183333333,
2022-05-14 08:00:00,0.1183333333,-0.0069930076,0.1175000000,
2022-05-14 09:00:00,0.1175000000,-0.0070422532,0.1166666667,
2022-05-14 10:00:00,0.1166666667,-0.0070921983,0.1158333333,
2022-05-14 11:00:00,0.1158333333,-0.0071428577,0.1150000000,
2022-05-14 12:00:00,0.1150000000,-0.0071942443,0.1141666667,
2022-05-14 13:00:00,0.1141666667,-0.0072463765,0.1133333333,
2022-05-14 14:00:00,0.1133333333,-0.0072992707,0.1125000000,
2022-05-14 15:00:00,0.1125000000,-0.0073529409,0.1116666667,
2022-05-14 16:00:00,0.1116666667,-0.0074074071,0.1108333333,
2022-05-14 17:00:00,0.1108333333,-0.0074626872,0.1100000000,
2022-05-14 18:00:00,0.1100000000,-0.0075187967,0.1091666667,
2022-05-14 19:00:00,0.1091666667,-0.0075757573,0.1083333333,
